from,to,ga4_sessions_jun2026,note
/lto-menu-items/jalapeno-cilantro-wrap/,/menu,,LTO/discontinued — no matching item; send to menu hub
/starters/bbq-chicken-quesadilla/,/menu/bbq-quesadilla,,manual match
/lto-menu-items/feta-veggie-wrap/,/menu,,LTO/discontinued — no matching item; send to menu hub
/kids_menu/kids-broccoli-and-chicken-bowl/,/menu/kids-broccoli-chicken-bowl,,manual match
/sides/quinoa/,/menu/side-of-quinoa,,manual match
/lto-menu-items/tostada-salad/,/menu,,LTO/discontinued — no matching item; send to menu hub
/kids_menu/crispy-chicken/,/menu/kids-crunchy-chicken-meal,,manual match
/bowls/sweet-sour-bowl-7-90-9-15/,/menu/sweet-and-sour-bowl,,manual match
/starters/chips-queso/,/menu/chips-and-queso,,manual match
/sides/broccoli/,/menu/broccoli-with-olive-oil-herb,,manual match
/louisville_starters/black-bean-and-green-chile-egg-roll/,/menu/catering-black-bean-egg-roll-dozen,,manual match
/starters/salt-lime-edamame/,/menu/salt-and-lime-edamame,,manual match
/bowls/bean-veggie-bowl-7-35-8-55/,/menu,,Bean & Veggie Bowl has no CMS item — send to hub; add item if it still exists
/louisville_starters/chips-queso/,/menu/chips-and-queso,,manual match
