url,final_url,status_code,load_time_ms,title,meta_description,canonical,h1_count,h1_text,word_count,images_total,images_with_alt,internal_links_count,jsonld_count,jsonld_types,og_title,og_description,og_image,ga4_sessions,ga4_engagement_rate,ga4_bounce_rate
https://crazybowlsandwraps.com/dessert/crazy-crispy-treat-chocolate/,https://crazybowlsandwraps.com/dessert/crazy-crispy-treat-chocolate/,200,213,Crazy Crispy Treat – Chocolate – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/dessert/crazy-crispy-treat-chocolate/,1,Crazy Crispy Treat – Chocolate,22,2,1,3,0,,,,,,,
https://crazybowlsandwraps.com/breakfast/veggie-scrambler/,https://crazybowlsandwraps.com/breakfast/veggie-scrambler/,200,93,Veggie Scrambler  – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/breakfast/veggie-scrambler/,1,Veggie Scrambler,60,2,1,3,0,,,,,,,
https://crazybowlsandwraps.com/events/family-night/,https://crazybowlsandwraps.com/events/family-night/,200,190,Family Night – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/events/family-night/,1,Family Night,117,3,3,3,0,,,,,,,
https://crazybowlsandwraps.com/bowls/mediterranean-bowl/,https://crazybowlsandwraps.com/bowls/mediterranean-bowl/,200,306,Mediterranean Bowl – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/bowls/mediterranean-bowl/,1,Mediterranean Bowl,38,2,1,3,0,,,,,179,0.3073,0.6927
https://crazybowlsandwraps.com/breakfast/mixed-berry-bowl/,https://crazybowlsandwraps.com/breakfast/mixed-berry-bowl/,200,197,Mixed Berry Bowl  – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/breakfast/mixed-berry-bowl/,1,Mixed Berry Bowl,30,2,1,3,0,,,,,,,
https://crazybowlsandwraps.com/kids_menu/cheese-quesadilla/,https://crazybowlsandwraps.com/kids_menu/cheese-quesadilla/,200,405,Cheese Quesadilla – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/kids_menu/cheese-quesadilla/,1,Cheese Quesadilla,24,2,1,3,0,,,,,,,
https://crazybowlsandwraps.com/bowls/high-protein-bowl-grain-free-9-50/,https://crazybowlsandwraps.com/bowls/high-protein-bowl-grain-free-9-50/,200,303,High-Protein Bowl – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/bowls/high-protein-bowl-grain-free-9-50/,1,High-Protein Bowl,46,2,2,3,0,,,,,104,0.6058,0.3942
https://crazybowlsandwraps.com/louisville_starters/chicken-tex-mex-egg-roll/,https://crazybowlsandwraps.com/louisville_starters/chicken-tex-mex-egg-roll/,200,487,Chicken Tex Mex Egg Roll  – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/louisville_starters/chicken-tex-mex-egg-roll/,1,Chicken Tex Mex Egg Roll,34,2,1,3,0,,,,,,,
https://crazybowlsandwraps.com/allergen-menu/,https://crazybowlsandwraps.com/allergen-menu/,200,368,Allergen Menu – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/allergen-menu/,0,,50,2,2,4,0,,,,,99,0.9394,0.0606
https://crazybowlsandwraps.com/cbw_menu_categories/kid-favorite/,https://crazybowlsandwraps.com/cbw_menu_categories/kid-favorite/,200,316,Kid Favorite! – Crazy Bowls and Wraps,,,1,CBW Menu Category:Kid Favorite!,19,1,1,3,0,,,,,,,
