Location,Slug,Street Address,City,State,Zip Code,Assigned Store,Order Count,First Order Date,Last Order Date,Days Since Last Order,Median Reorder Gap (days),Avg Food Total,Total Food Spend,Primary Source,Segment
Weber Chevrolet,weber-chevrolet,12015 Olive Blvd,Creve Coeur,MO,63141.0,West Oak,1,2025-09-13,2025-09-13,317,,327.5,327.5,Marketplace Takeout,cold
Weil Hall (Sam Fox School at WashU),weil-hall-(sam-fox-school-at-washu),1 Wrighton Wy Weil 105,St. Louis,MO,63105.0,Lindell/SLU,1,2025-10-29,2025-10-29,271,,528.5,528.5,Marketplace Takeout,cold
Weissman Theatrical,weissman-theatrical,6750 Manchester Ave,St. Louis,MO,63139.0,South City,1,2025-03-18,2025-03-18,496,,520.2,520.2,Marketplace Takeout,cold
Whitebridge Pet Brands,whitebridge-pet-brands,11330 Olive Blvd Suite 300,Creve Coeur,MO,63141.0,West Oak,1,2025-09-03,2025-09-03,327,,875.65,875.65,Marketplace Takeout,cold
Wiese - CAT Meeting,wiese---cat-meeting,1435 Woodson Rd,St. Louis,MO,63132.0,Forsyth/Clayton,1,2025-11-17,2025-11-17,252,,254.13,254.13,Marketplace Takeout,cold
Willis Towers Watson (WTW),willis-towers-watson-(wtw),7733 Forsyth Blvd Suite 1350,St. Louis,MO,63105.0,Rock Hill/Glendale,1,2025-08-20,2025-08-20,341,,224.81,224.81,Marketplace Takeout,cold
Winland Foods,winland-foods,611 E Marceau St,St. Louis,MO,63111.0,Tesson,1,2025-08-06,2025-08-06,355,,259.53,259.53,Marketplace Takeout,cold
World Chess Hall of Fame,world-chess-hall-of-fame,4652 Maryland Ave,St. Louis,MO,63108.0,Forsyth/Clayton,1,2025-06-12,2025-06-12,410,,313.25,313.25,Marketplace Takeout,cold
World Chess Hall of Fame & Galleries,world-chess-hall-of-fame-and-galleries,4652 Maryland Ave,St. Louis,MO,63108.0,Lindell/SLU,1,2025-09-18,2025-09-18,312,,248.0,248.0,Marketplace Takeout,cold
World Chess Hall of Fame - Chester,world-chess-hall-of-fame---chester,4652 Maryland Ave,St. Louis,MO,63108.0,Lindell/SLU,1,2025-03-16,2025-03-16,498,,361.75,361.75,Marketplace Takeout,cold
World Chess Hall of Fame - Trask,world-chess-hall-of-fame---trask,4651 Maryland Ave,St. Louis,MO,63108.0,Lindell/SLU,1,2025-03-06,2025-03-06,508,,328.6,328.6,Marketplace Takeout,cold
World Wide Technology Office,world-wide-technology-office,701 Fee Fee Rd,Maryland Heights,MO,63043.0,West Oak,1,2025-10-08,2025-10-08,292,,833.5,833.5,Marketplace Takeout,cold
ZBMidArk,zbmidark,3401 Rider Trail S,Earth City,MO,63045.0,Lindenwood,1,2025-02-18,2025-02-18,524,,333.1,333.1,ezOrdering Takeout,cold
ashley homestore,ashley-homestore,3700 Green Mt Crossing Dr,Shiloh,IL,62269.0,Shiloh,1,2025-11-13,2025-11-13,256,,117.6,117.6,Marketplace Takeout,cold
chesnut health systems,chesnut-health-systems,12 N 64th St,Belleville,IL,62223.0,Shiloh,1,2025-10-08,2025-10-08,292,,253.49,253.49,Marketplace Takeout,cold
courtyard marriot st louis,courtyard-marriot-st-louis,2340 Market St,St. Louis,MO,63103.0,Lindell/SLU,1,2025-11-05,2025-11-05,264,,381.04,381.04,Marketplace Takeout,cold
fit-flavors,fit-flavors,14824 Clayton Rd Suite 22,Chesterfield,MO,63017.0,Rock Hill/Glendale,1,2025-06-24,2025-06-24,398,,429.95,429.95,Marketplace Takeout,cold
pink,pink,,Fairview Heights,IL,,Shiloh,1,2025-05-13,2025-05-13,440,,612.0,612.0,Marketplace Takeout,cold
scott morrison,scott-morrison,310 N 7 Hills Rd,O'Fallon,IL,62269.0,Shiloh,1,2025-03-28,2025-03-28,486,,346.0,346.0,Marketplace Takeout,cold
Christina White Salon,christina-white-salon,1520 S 5th St Suite 105 105 105,Saint Charles,MO,63303.0,Lindenwood,4,2025-09-10,2026-06-10,47,88.0,153.74,614.95,Marketplace Takeout,warm
Dr Pai,dr-pai,2810 Frank Scott Pkwy W Suite 716,Belleville,IL,62223.0,Shiloh,4,2025-02-21,2026-06-09,48,104.0,334.67,1338.69,Marketplace Takeout,warm
Faith Oakville,faith-oakville,6101 Telegraph Rd,St. Louis,MO,63129.0,Tesson,4,2025-03-26,2026-05-12,76,83.0,170.38,681.52,Marketplace Takeout,warm
Hartwig,hartwig,10617 Trenton Ave,St. Louis,MO,63132.0,West Oak,4,2025-10-14,2026-06-17,40,29.0,214.82,859.3,Marketplace Takeout,warm
Plancorp LLC,plancorp-llc,540 Maryville Centre Dr 105,St. Louis,MO,63141.0,Creve Coeur,4,2025-10-28,2026-05-15,73,50.0,753.01,3012.05,Marketplace Takeout,warm
Solvay,solvay,3500 Missouri Ave,East St. Louis,IL,62205.0,Lindell/SLU,4,2026-04-15,2026-05-27,61,13.0,105.21,420.85,Marketplace Takeout,warm
Wiegmann Associates,wiegmann-associates,650 Fountain Lakes Blvd,Saint Charles,MO,63301.0,Lindenwood,4,2025-10-02,2026-06-25,32,56.0,106.89,427.57,Marketplace Takeout,warm
Cass,cass,13001 Hollenberg Dr,Bridgeton,MO,63044.0,Lindenwood,3,2026-01-13,2026-06-02,55,69.0,103.88,311.63,Marketplace Takeout,warm
FTL Finance,ftl-finance,820 S Main St Suite 307,Saint Charles,MO,63301.0,Lindenwood,3,2025-04-23,2026-05-07,81,188.0,662.03,1986.1,Marketplace Takeout,warm
ICL,icl,622 Emerson Rd Suite 500,Creve Coeur,MO,63141.0,Tesson,3,2025-09-29,2026-05-11,77,111.0,191.67,575.02,Marketplace Takeout,warm
Rosenblum Goldenhersh PC,rosenblum-goldenhersh-pc,7733 Forsyth Blvd suite 400 400,Clayton,MO,63105.0,Forsyth/Clayton,3,2025-08-01,2026-06-19,38,160.0,376.87,1130.6,Marketplace Takeout,warm
Tarlton Corporation,tarlton-corporation,5500 W Park Ave,St. Louis,MO,63110.0,Forsyth/Clayton,3,2025-06-05,2026-04-29,89,164.0,668.5,2005.5,Marketplace Takeout,warm
WashU Oncology,washu-oncology,4590 Nash Wy Mid Campus Center 11th floor,St. Louis,MO,63110.0,Lindell/SLU,3,2025-10-09,2026-05-28,60,114.0,500.7,1502.11,Marketplace Takeout,warm
AFB,afb,3 Research Park Dr,Saint Charles,MO,63304.0,O'Fallon,2,2025-06-05,2026-06-04,53,364.0,397.4,794.8,Marketplace Takeout,warm
Acera Surgical,acera-surgical,1630 Des Peres Rd Training Room,St. Louis,MO,63131.0,Manchester,2,2025-04-15,2026-05-27,61,406.0,220.14,440.28,Marketplace Takeout,warm
Ballas Dental Care,ballas-dental-care,2821 N Ballas Rd suite 140,St. Louis,MO,63131.0,West Oak,2,2026-02-17,2026-06-11,46,114.0,248.0,496.0,Marketplace Takeout,warm
Centerpointe out patient,centerpointe-out-patient,4801 Weldon Spring Pkwy,Weldon Spring,MO,63304.0,O'Fallon,2,2026-03-24,2026-05-26,62,63.0,499.5,999.0,Marketplace Takeout,warm
Education Plus,education-plus,1460 Craig Rd,St. Louis,MO,63146.0,West Oak,2,2025-02-26,2026-05-13,75,441.0,450.87,901.74,Marketplace Takeout,warm
Epiphany Dermatology,epiphany-dermatology,8888 Ladue Rd Suite 120,St. Louis,MO,63124.0,Forsyth/Clayton,2,2026-01-12,2026-05-13,75,121.0,220.62,441.25,Marketplace Takeout,warm
HSHS St. Elizabeth's Neurology,hshs-st-elizabeths-neurology,3 St Elizabeth's Blvd Suite 500,O'Fallon,IL,62269.0,Shiloh,2,2026-04-27,2026-06-25,32,58.0,360.45,720.9,Marketplace Takeout,warm
Habitat for Humanity Saint Louis,habitat-for-humanity-saint-louis,3830 S Grand Blvd,St. Louis,MO,63118.0,Lindell/SLU,2,2026-03-24,2026-06-23,34,90.0,372.68,745.35,Marketplace Takeout,warm
