Location,Slug,Street Address,City,State,Zip Code,Assigned Store,Order Count,First Order Date,Last Order Date,Days Since Last Order,Median Reorder Gap (days),Avg Food Total,Total Food Spend,Primary Source,Segment
School of Social Work,school-of-social-work,"3550 Lindell Blvd Tegeler Hall, 200E",St. Louis,MO,63103.0,Lindell/SLU,1,2026-06-10,2026-06-10,47,,108.95,108.95,Marketplace Takeout,warm
Simon Law Firm,simon-law-firm,1001 Highlands Plaza Dr 300,St. Louis,MO,63110.0,South City,1,2026-05-07,2026-05-07,81,,859.75,859.75,Marketplace Takeout,warm
Southern Illinois behavioral health,southern-illinois-behavioral-health,6805 State Route 162 Suite 201,Maryville,IL,62062.0,Edwardsville,1,2026-05-28,2026-05-28,60,,376.05,376.05,Marketplace Takeout,warm
St Louis Rheumatology,st-louis-rheumatology,520 S Elm Ave,Webster Groves,MO,63119.0,Rock Hill/Glendale,1,2026-06-22,2026-06-22,35,,563.35,563.35,Marketplace Takeout,warm
St Mary’s Hospital,st-mary’s-hospital,6420 Clayton Rd,Richmond Heights,MO,63117.0,Forsyth/Clayton,1,2026-06-09,2026-06-09,48,,264.4,264.4,Marketplace Takeout,warm
St. Louis Behavioral Medicine Institute,st-louis-behavioral-medicine-institute,1129 Macklind Ave,St. Louis,MO,63110.0,South City,1,2026-06-07,2026-06-07,50,,558.0,558.0,Marketplace Takeout,warm
St. Louis City Training Facility,st-louis-city-training-facility,218 S 22nd St,St. Louis,MO,63103.0,South City,1,2026-05-25,2026-05-25,63,,369.0,369.0,Marketplace Takeout,warm
St. Luke’s Clinic of Internal Medicine,st-luke’s-clinic-of-internal-medicine,121 St. Luke’s Center Dr (Outpatient bldg A) 506,Chesterfield,MO,63017.0,Creve Coeur,1,2026-05-07,2026-05-07,81,,356.2,356.2,Marketplace Takeout,warm
"Talisen Technologies, Inc",talisen-technologies-inc,12655 Olive Blvd 500,Creve Coeur,MO,63141.0,Creve Coeur,1,2026-05-27,2026-05-27,61,,178.9,178.9,Marketplace Takeout,warm
Techartista,techartista,725 Kingsland Ave,St. Louis,MO,63130.0,Forsyth/Clayton,1,2026-05-27,2026-05-27,61,,76.55,76.55,Marketplace Takeout,warm
The Crossing at Fenton,the-crossing-at-fenton,1800 Bowles Ave The Crossing at Fenton,Fenton,MO,63026.0,Tesson,1,2026-05-18,2026-05-18,70,,103.3,103.3,Marketplace Takeout,warm
The Lawrence Group,the-lawrence-group,319 N 4th St 1000,St. Louis,MO,63102.0,Lindell/SLU,1,2026-05-28,2026-05-28,60,,165.8,165.8,Marketplace Takeout,warm
The Living World Entrance,the-living-world-entrance,1 Government Dr,St. Louis,MO,63110.0,South City,1,2026-05-20,2026-05-20,68,,158.7,158.7,Marketplace Takeout,warm
Vasantha Pai,vasantha-pai,2810 Frank Scott Pkwy W #716,Belleville,IL,62223.0,Shiloh,1,2026-05-13,2026-05-13,75,,232.5,232.5,Marketplace Takeout,warm
Washington University Brauer Dock,washington-university-brauer-dock,6220 Forest Park Pkwy BRAUER ROOM 1015,St. Louis,MO,63112.0,Forsyth/Clayton,1,2026-04-29,2026-04-29,89,,511.5,511.5,Marketplace Takeout,warm
Yoon dermatology,yoon-dermatology,1060 Meyer Rd,Wentzville,MO,63385.0,Wentzville,1,2026-06-04,2026-06-04,53,,331.05,331.05,Marketplace Takeout,warm
midwest sinus sleep,midwest-sinus-sleep,1179 Fortune Blvd,Shiloh,IL,62269.0,Shiloh,1,2026-05-20,2026-05-20,68,,336.25,336.25,Marketplace Takeout,warm
