apollo_account_id,location,slug,zip,store,segment
6a6a40c30842f7000cf66659,UofL Brown Cancer Center - Breast Oncology,uofl-brown-cancer-center---breast-oncology,40202,Mercantile,warm
6a6a40c40842f70014f79d7a,Staffmark Group,staffmark-group,45202,Queen City Wild Eggs,warm
6a6a40c5fec12d000c894f06,MISO,miso,46032,Carmel,warm
6a6a40c68faadc0018497072,Eureka! Ranch/Dexter-Brain Brew Distillery,eureka!-ranch-dexter-brain-brew-distillery,45244,Oakley,warm
6a6a40c7ba36e2001410064c,Cook Medical,cook-medical,46202,Pulliam,warm
6a6a40c800ae07001749b2d1,"Graves Gilbert Clinic, Dr. Gass Brooks Mangold Stice Drexel",graves-gilbert-clinic-dr-gass-brooks-mangold-stice-drexel,42101,Bowling Green,warm
6a6a40c9c7b09b001cfd257d,BAE Systems,bae-systems,40214,Mercantile,warm
6a6a40ca26f057001042eff9,Redeemer Presbyterian Church Indianapolis,redeemer-presbyterian-church-indianapolis,46202,Pulliam,warm
6a6a40cbe64d5d0015776ba0,Pivot,pivot,46225,Pulliam,warm
6a6a40ccb232610010eda98b,Franciscan Health Oncology & Hematology Specialists,franciscan-health-oncology-and-hematology-specialists,46237,Pulliam,warm
6a6a40cd55390c0010eb6bde,MegaCorp Logistics,megacorp-logistics,41071,Queen City Wild Eggs,warm
6a6a40cef8a1fd0010bc0a42,Dauenhauer Plumbing,dauenhauer-plumbing,40218,Dupont,warm
6a6a40cf9798c50018272a50,DMG,dmg,45202,Queen City Wild Eggs,warm
6a6a40d0f80a50001ce33395,Deaconess,deaconess,47715,Evansville,warm
6a6a40d1c85fa3000ce232c9,cbc Kresge,cbc-kresge,40207,Dupont,warm
6a6a40d100f4d3001c0eed0d,Louisville Slugger Field,louisville-slugger-field,40202,Mercantile,warm
6a6a40d2c7b09b001cfd25da,Franciscan Oncology &Hematology,franciscan-oncology-andhematology,46237,Greenwood,warm
6a6a40d3e64d5d0015776bb8,TriHealth Physicians Gastroenterology,trihealth-physicians-gastroenterology,45242,Oakley,warm
6a6a40d49798c50018272ab1,Gastro Health Partners - OneGI,gastro-health-partners---onegi,40218,Westport,warm
6a6a40d5bb0497000c22236f,KY Skin Cancer Center,ky-skin-cancer-center,42103,Bowling Green,warm
6a6a40d7f0044c0010021d10,KMK Law,kmk-law,45202,Queen City Wild Eggs,warm
6a6a40d8cb572f0014eace7a,Brown Cancer RADIATION ONCOLOGY,brown-cancer-radiation-oncology,40202,Mercantile,warm
6a6a40d9fb17b400185affaf,Crossroads Church Oakley,crossroads-church-oakley,45209,Oakley,warm
6a6a40dac98b510020606008,Trihealth Group Health,trihealth-group-health,45236,Oakley,warm
6a6a40dbcb57090010937a9f,Racing Louisville,racing-louisville,40206,Mercantile,warm
6a6a40dcbb0497000c2224a9,Deaconess Clinic Primary Care - Downtown Fourth Street,deaconess-clinic-primary-care---downtown-fourth-street,47713,Evansville,warm
6a6a40dd0842f70014f7a0bb,Methodist Hospital Interventional Radiology,methodist-hospital-interventional-radiology,46202,Pulliam,warm
6a6a40de55390c0010eb6d90,Gastroenterology Office,gastroenterology-office,40218,Dupont,warm
6a6a40df52ef2300148acd2c,OHC Blue Ash,ohc-blue-ash,45242,Oakley,warm
6a6a40df49bd4b0020464bae,[REMOVED],[removed],47630,Evansville,warm
6a6a40e0280f2b001c8ee7d0,CEI- Cincinnati Eye Instutite,cei--cincinnati-eye-instutite,45219,Queen City Wild Eggs,warm
6a6a40e1d1c141000c5d2626,Baptist Oncology,baptist-oncology,47150,New Albany,warm
6a6a40e3cb570900145b06e4,Dermatologists of Central States,dermatologists-of-central-states,45242,Oakley,warm
6a6a40e3af2626001498bcfc,The Dermatology Center,the-dermatology-center,47150,New Albany,warm
6a6a40e409afd20021ebbe40,Holiday Inn.,holiday-inn,46074,Carmel,warm
6a6a40e5f0044c001443b18c,Cincinnati GI,cincinnati-gi,45255,Queen City Wild Eggs,warm
6a6a40e69b4a55002014ac18,Southeast Christian church - Crestwood Campus,southeast-christian-church---crestwood-campus,40014,Landis,warm
6a6a40e7ae7a030017d615cb,LC Rheumatology& Infusion,lc-rheumatologyand-infusion,47150,Jeffersonville,warm
6a6a40e83cf72e001092e778,Washington Family Medicine,washington-family-medicine,46219,Pulliam,warm
6a6a40e9c7b09b0014ad39d1,Methodist Hospital,methodist-hospital,46202,Pulliam,warm
6a6a40ea88caba001ceea2ac,Brown cancer center downtown,brown-cancer-center-downtown,40202,Westport,warm
6a6a40eb4eef240020758870,Lennar Homes,lennar-homes,46032,Carmel,warm
6a6a40eccb570900145b0769,Deaconess Felstead FP,deaconess-felstead-fp,47712,Evansville,warm
6a6a40ec0842f7000cf66be2,Grainger,grainger,40219,Mercantile,warm
6a6a40edc7b09b0014ad39fd,Tri Health Endo,tri-health-endo,45211,Queen City Wild Eggs,warm
6a6a40ee94347f000c2b8e43,Associates in Dermatology,associates-in-dermatology,40222,Westport,warm
6a6a40ef32e89c001425f66d,Charles H Braun Stadium,charles-h-braun-stadium,47722,Evansville,warm
6a6a40f05e6777001caa13f3,Equity Medical Dermatology,equity-medical-dermatology,42104,Bowling Green,warm
6a6a40f1ac483800149f6d1d,Lake Cumberland Rheumatology,lake-cumberland-rheumatology,47150,Jeffersonville,warm
6a6a40f29b4a55001c265a7a,PricewaterhouseCoopers,pricewaterhousecoopers,45202,Queen City Wild Eggs,warm
6a6a40f300f4d300205b2ee3,Rheumatology Associates,rheumatology-associates,40218,Dupont,warm
6a6a40f4ae7a030017d61620,Dr. Warren Neurology,dr-warren-neurology,47630,Evansville,warm
6a6a40f5b0834c001cff5022,Carpet Specialists,carpet-specialists,40223,Landis,warm
6a6a40f6f96e5900185c2ae6,UofL Endocrinology,uofl-endocrinology,40205,Dupont,warm
6a6a40f78faadc00184973d4,Baptist Hospital ED Observation unit,baptist-hospital-ed-observation-unit,40207,Dupont,warm
6a6a40f803ba06001428284a,IU Health West Cath Lab,iu-health-west-cath-lab,46123,Avon,warm
6a6a40f8ae7a030017d61646,FPN Oncology & Hematology - Emerson,fpn-oncology-and-hematology---emerson,46237,Pulliam,warm
6a6a40f90842f70014f7a407,Deaconess infusion,deaconess-infusion,47630,Evansville,warm
6a6a40fa4eef240018d2d536,Northview Church,northview-church,46033,Fishers,warm
6a6a40fbfb05170010b267b2,MISO Energy,miso-energy,46032,Carmel,warm
6a6a40fca8fd8e00140858ca,Deloitte (Salesforce building),deloitte-(salesforce-building),46204,Pulliam,warm
6a6a40fd3d7a0c001cc5f9b5,Cummins Inc,cummins-inc,46204,Pulliam,warm
6a6a40fec85fa3000ce23721,Cincinnati- GI,cincinnati--gi,45255,Queen City Wild Eggs,warm
6a6a40ff028b0f001460dc12,Indie Mane,indie-mane,46203,Pulliam,warm
6a6a40ffd24bd3000c56c263,Residence - Jessica Kohlmeyer,residence---jessica-kohlmeyer,46060,Fishers,warm
6a6a4100280f2b001c8ee92a,TriHealth Gastro Montgomery,trihealth-gastro-montgomery,45242,Oakley,warm
6a6a41018faadc0018497710,Launch Business Funding,launch-business-funding,40223,Landis,warm
6a6a410225e9fa00204809eb,UC Endosocopy,uc-endosocopy,45242,Oakley,warm
