Order Number,Location,Street Address,City,State,Zip Code,Store Number,Store Name,Caterer Name,Event Date,Submitted At,Food Total,Promotion,Delivery Fee,Commission,Sales Tax,Sales Tax Remitted by ezCater,Tip,Payment Transaction Fee,Adjustments,Discounts,Misc Fees,Preferred Partner Program,Rewards,Caterer Total Due,Status,Order Paid By Caterer Payment Method,Source,Promotion Code,Driver,House Account ID,House Account Tax ID,Campaign Name
3UC-UWG,Perimeter Solutions,8000 Maryland Ave Suite 350,Clayton,MO,63105,,Forsyth/Clayton,CBW- Crazy Bowls and Wraps (Forsyth/Clayton),04/01/2025 11:24 AM,03/31/2025 2:47 PM,$245.82 ,$0.00 ,$20.00 ,($39.87),$25.17 ,$0.00 ,$0.00 ,($8.70),$0.00 ,$0.00 ,-30,-4.92,-12.29,195.21,Completed,ach,Marketplace Takeout,,Dispatch,,,
W75-JEG,,,St. Louis,MO,,,Lindell/SLU,CBW- Crazy Bowls and Wraps (Lindell/SLU),04/01/2025 4:30 PM,03/31/2025 1:57 PM,$478.08 ,$0.00 ,$0.00 ,($71.71),$0.00 ,$0.00 ,$0.00 ,($14.29),$0.00 ,$0.00 ,0,-9.56,-23.9,358.62,Completed,ach,Marketplace Takeout,,N/A,,,
WGT-GMT,The Christ Hospital,4803 Montgomery Rd Ste 114,Norwood,OH,45212,8,Oakley,Wild Eggs #8 (Oakley),04/02/2025 8:15 AM,04/01/2025 11:40 AM,$223.00 ,$0.00 ,$35.00 ,($38.70),$0.00 ,$0.00 ,$15.00 ,($7.71),$0.00 ,$0.00 ,0,-8.92,0,217.67,Completed,ach,Marketplace Delivery,,Spencer Gamble,,,
CTY-TGE,Barnes Jewish,1 Barnes Jewish Hospital Plaza,St. Louis,MO,63110,,Lindell/SLU,CBW- Crazy Bowls and Wraps (Lindell/SLU),04/02/2025 10:49 AM,03/14/2025 3:48 PM,$266.10 ,$0.00 ,$20.00 ,($42.92),$35.07 ,$0.00 ,$0.00 ,($9.60),$0.00 ,$0.00 ,-30,-5.32,-13.31,220.02,Completed,ach,Marketplace Takeout,,Dispatch,,,
2V2-J59,Washington Unviersity,One Brookings Dr Knight Hall intersection of Throop & Snow Way next to Charles F Knight Center,St. Louis,MO,63130,,Forsyth/Clayton,CBW- Crazy Bowls and Wraps (Forsyth/Clayton),04/02/2025 10:53 AM,03/31/2025 3:09 PM,$214.45 ,$0.00 ,$20.00 ,($35.17),$0.00 ,$0.00 ,$0.00 ,($7.01),$0.00 ,$0.00 ,-30,-4.29,-10.72,147.26,Completed,ach,Marketplace Takeout,,Dispatch,,,
23C-Q4M,Center for Advanced Medicine,4921 Parkview Pl,St. Louis,MO,63110,,Lindell/SLU,CBW- Crazy Bowls and Wraps (Lindell/SLU),04/02/2025 11:06 AM,03/14/2025 3:37 PM,$207.10 ,$0.00 ,$20.00 ,($34.07),$27.29 ,$0.00 ,$0.00 ,($7.61),$0.00 ,$0.00 ,-30,-4.14,-10.36,168.21,Completed,ach,Marketplace Takeout,,Dispatch,,,
01F-479,Bowling Green Hot Rods Clubhouse,300 E 8th Ave,Bowling Green,KY,42101,14,Bowling Green,Wild Eggs #14 (Bowling Green),04/03/2025 8:00 AM,04/01/2025 4:58 PM,$846.00 ,$0.00 ,$35.00 ,($132.15),$52.86 ,($52.86),$25.00 ,($27.92),$0.00 ,$0.00 ,0,0,0,745.93,Completed,ach,Marketplace Delivery,,Shamaree Lee,,,
G96-4FR,Sysco Foods,3850 Mueller Rd,Saint Charles,MO,63301,,Lindenwood,CBW- Crazy Bowls and Wraps (Lindenwood),04/03/2025 10:32 AM,04/01/2025 11:45 AM,$309.00 ,$0.00 ,$20.00 ,($23.03),$30.75 ,$0.00 ,$0.00 ,($10.76),$0.00 ,$0.00 ,-30.9,0,0,295.06,Completed,ach,ezOrdering Takeout,,Dispatch,,,
FFA-AQT,Curium,2703 Wagner Pl,Maryland Heights,MO,63043,,West Oak,CBW- Crazy Bowls and Wraps (West Oak),04/03/2025 11:16 AM,04/02/2025 12:49 PM,$216.75 ,$0.00 ,$20.00 ,($35.51),$19.48 ,$0.00 ,$0.00 ,($7.66),$0.00 ,$0.00 ,-30,-4.34,-10.84,167.88,Completed,ach,Marketplace Takeout,,Dispatch,,,
GGW-4JU,ATB Technologies,14567 N Outer 40 Rd suite 525,Chesterfield,MO,63017,,West Oak,CBW- Crazy Bowls and Wraps (West Oak),04/04/2025 11:45 AM,03/20/2025 9:17 AM,$221.13 ,$0.00 ,$25.00 ,($33.17),$19.88 ,$0.00 ,$22.11 ,($7.95),$0.00 ,$0.00 ,0,0,0,247,Completed,ach,Meal Program,,,,,
KJV-5EA,Lynn Family Stadium,1201 Franklin St.,Louisville,KY,40206,4,Mercantile,Wild Eggs #4 (Mercantile),04/06/2025 7:45 AM,04/03/2025 10:26 AM,$379.00 ,$0.00 ,$35.00 ,($62.10),$24.84 ,($24.84),$25.00 ,($13.12),$0.00 ,$0.00 ,0,-7.58,0,356.2,Completed,ach,Marketplace Delivery,,Mikey  Thomas ,,,
KV8-VKC,Fifth Third Bank,38 Fountain Sq Plz,Cincinnati,OH,45202,9,Queen City Wild Eggs,Wild Eggs #9 (Queen City Wild Eggs),04/07/2025 7:45 AM,04/02/2025 3:56 PM,$245.00 ,$0.00 ,$35.00 ,($42.00),$0.00 ,$0.00 ,$49.00 ,($8.37),$0.00 ,$0.00 ,0,-4.9,0,273.73,Completed,ach,Marketplace Delivery,,Shirelle Bloom,,,
T7R-J7H,Distinctive Dermatology,390 Office Ct,Fairview Heights,IL,62208,,Shiloh,CBW- Crazy Bowls and Wraps (Shiloh),04/07/2025 10:32 AM,03/14/2025 7:38 AM,$469.95 ,$0.00 ,$20.00 ,($73.49),$39.24 ,($39.24),$0.00 ,($15.82),$0.00 ,$0.00 ,-47,0,-23.5,330.14,Completed,ach,Marketplace Takeout,march500,Dispatch,,,
79K-PEV,"Cancer center, 2nd floor",10050 Kennerly Rd,Sappington,MO,63128,,Tesson,CBW- Crazy Bowls and Wraps (Tesson),04/07/2025 10:50 AM,03/27/2025 1:51 PM,$537.01 ,$0.00 ,$20.00 ,($83.55),$41.55 ,$0.00 ,$0.00 ,($17.90),$0.00 ,$0.00 ,-53.7,-10.74,-26.85,405.82,Completed,ach,Marketplace Takeout,,Dispatch,,,
81G-06T,University Club Medical,1520 S Brentwood Blvd,Brentwood,MO,63144,,Rock Hill/Glendale,CBW- Crazy Bowls and Wraps (Rock Hill/Glendale),04/07/2025 11:07 AM,04/04/2025 2:31 PM,$260.10 ,$0.00 ,$20.00 ,($42.02),$24.03 ,$0.00 ,$0.00 ,($9.09),$0.00 ,$0.00 ,-30,-5.2,-13.01,204.81,Completed,ach,Marketplace Takeout,,Dispatch,,,
0T4-R9K,Washington University,4939 Children's Place 9th Floor,St. Louis,MO,63110,,Lindell/SLU,CBW- Crazy Bowls and Wraps (Lindell/SLU),04/07/2025 11:18 AM,04/02/2025 11:37 AM,$377.50 ,$0.00 ,$20.00 ,($59.63),$0.00 ,$0.00 ,$0.00 ,($11.89),$0.00 ,$0.00 ,-37.75,-7.55,-18.88,261.8,Completed,ach,Marketplace Takeout,,Dispatch,,,
KF6-20J,METRO EAST DERMATOLOGY,331 Regency Park,O'Fallon,IL,62269,,Shiloh,CBW- Crazy Bowls and Wraps (Shiloh),04/07/2025 11:22 AM,04/04/2025 11:58 AM,$415.70 ,$0.00 ,$20.00 ,($30.50),$34.71 ,($34.71),$0.00 ,($14.07),$0.00 ,$0.00 ,-41.57,0,0,349.56,Completed,ach,ezOrdering Takeout,,Dispatch,,,
Z3X-5XE,KCC R&D Center,715 Innovation Way Suite 101,Simpsonville,KY,40067,12,Jtown,Wild Eggs #12 (Jtown),04/08/2025 6:30 AM,04/02/2025 8:48 AM,$560.00 ,$0.00 ,$35.00 ,($89.25),$35.70 ,($35.70),$56.00 ,($18.86),$0.00 ,$0.00 ,0,-22.4,0,520.49,Completed,ach,Marketplace Delivery,,Israel Luna,,,
7U1-A35,Clayton Police Department,10 S Brentwood Blvd,Clayton,MO,63105,,Forsyth/Clayton,CBW- Crazy Bowls and Wraps (Forsyth/Clayton),04/08/2025 9:50 AM,04/02/2025 10:35 AM,$628.18 ,$0.00 ,$20.00 ,($97.23),$64.31 ,$0.00 ,$0.00 ,($21.30),$0.00 ,$0.00 ,-62.82,-12.56,-31.41,487.17,Completed,ach,Marketplace Takeout,,Dispatch,,,
4AU-8GM,TREX,911 Washington Ave Suite 500,St. Louis,MO,63101,,Lindell/SLU,CBW- Crazy Bowls and Wraps (Lindell/SLU),04/08/2025 10:35 AM,04/04/2025 10:26 AM,$140.20 ,$0.00 ,$20.00 ,($24.03),$18.48 ,$0.00 ,$0.00 ,($5.34),$0.00 ,$0.00 ,-30,-2.8,-7.01,109.5,Completed,ach,Marketplace Takeout,,Dispatch,,,
QYQ-JZY,Associated Couriers,4806 Trade Access Blvd Ste 100 100,Hazelwood,MO,63042,,Lindenwood,CBW- Crazy Bowls and Wraps (Lindenwood),04/08/2025 10:57 AM,04/04/2025 2:38 PM,$514.50 ,$0.00 ,$20.00 ,($80.18),$51.19 ,$0.00 ,$0.00 ,($17.51),$0.00 ,$0.00 ,-51.45,-10.29,-25.73,400.53,Completed,ach,Marketplace Takeout,,Dispatch,,,
F1E-3QT,University of Louisville,530 S Jackson St Cath Lab,Louisville,KY,40202,4,Mercantile,Wild Eggs #4 (Mercantile),04/09/2025 6:45 AM,04/06/2025 7:45 AM,$267.00 ,$0.00 ,$35.00 ,($45.30),$18.12 ,($18.12),$20.00 ,($9.57),$0.00 ,$0.00 ,0,-5.34,0,261.79,Completed,ach,Marketplace Delivery,,Mikey  Thomas ,,,
VUK-7Z4,Courtyard Louisville Downtown,"100 S 2nd St Commonwealth Conference Room, 1st floor",Louisville,KY,40202,4,Mercantile,Wild Eggs #4 (Mercantile),04/09/2025 7:45 AM,04/04/2025 12:24 PM,$487.00 ,$0.00 ,$35.00 ,($78.30),$31.32 ,($31.32),$73.05 ,($16.54),$0.00 ,$0.00 ,0,-9.74,0,490.47,Completed,ach,Marketplace Delivery,,Mikey  Thomas ,,,
7Y7-W2Q,Planet Fitness Kueber Center,2432 S Floyd St,Louisville,KY,40209,4,Mercantile,Wild Eggs #4 (Mercantile),04/09/2025 8:15 AM,04/04/2025 2:26 PM,$527.00 ,$0.00 ,$35.00 ,($84.30),$0.00 ,$0.00 ,$60.00 ,($16.80),$0.00 ,$0.00 ,0,-10.54,0,510.36,Completed,ach,Marketplace Delivery,,Mikey  Thomas ,,,
